127.0.0.1 - - [21/Feb/2024:22:56:53 +0630] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:56:54 +0630] "GET /Fitfinity/drSignUp.jsp HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:56:54 +0630] "GET /image/loginBackground.png HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:56:55 +0630] "GET /Fitfinity/image/logo.png HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:58:03 +0630] "POST /Fitfinity/AddDoctor HTTP/1.1" 200 5322
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:58:03 +0630] "GET /image/loginBackground.png HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:58:18 +0630] "POST /Fitfinity/AddDoctor HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:58:18 +0630] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:58:42 +0630] "GET /Fitfinity/DrSchedule.jsp HTTP/1.1" 200 9516
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:59:37 +0630] "POST /Fitfinity/AddDoctorSchedule HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:22:59:37 +0630] "GET /Fitfinity/DrSchedule.jsp?success=true HTTP/1.1" 200 9516
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:00:28 +0630] "GET /Fitfinity/doctors.jsp HTTP/1.1" 200 5893
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:00:28 +0630] "GET /Fitfinity/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:00:28 +0630] "GET /Fitfinity/node_modules/animate.css/animate.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:00:29 +0630] "GET /Fitfinity/DepartmentServlet HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:00:35 +0630] "GET /Fitfinity/DoctorServlet?deptid=D-1 HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:00:46 +0630] "GET /Fitfinity/DoctorServlet?deptid=D-4 HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:00:50 +0630] "GET /Fitfinity/DoctorServlet?deptid=D-5 HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:20 +0630] "GET /Fitfinity/main.jsp HTTP/1.1" 200 16452
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:20 +0630] "GET /Fitfinity/node_modules/animate.css/animate.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:20 +0630] "GET /Fitfinity/img/depHeart.svg HTTP/1.1" 200 1481332
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:20 +0630] "GET /Fitfinity/img/depSkin.svg HTTP/1.1" 200 335930
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:20 +0630] "GET /Fitfinity/img/depEar.svg HTTP/1.1" 200 382754
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:20 +0630] "GET /Fitfinity/img/depEmer.svg HTTP/1.1" 200 751018
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:20 +0630] "GET /Fitfinity/carousel.js HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:20 +0630] "GET /Fitfinity/img/depBone.svg HTTP/1.1" 200 287111
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:20 +0630] "GET /Fitfinity/img/depBrain.svg HTTP/1.1" 200 528634
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:20 +0630] "GET /Fitfinity/img/depOG.svg HTTP/1.1" 200 251199
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:20 +0630] "GET /Fitfinity/img/instagram.png HTTP/1.1" 200 42247
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:20 +0630] "GET /Fitfinity/img/facebook.png HTTP/1.1" 200 16055
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:20 +0630] "GET /Fitfinity/img/twitter.png HTTP/1.1" 200 13575
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:20 +0630] "GET /Fitfinity/img/pinterest.png HTTP/1.1" 200 17129
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:20 +0630] "GET /Fitfinity/img/youtube.png HTTP/1.1" 200 13626
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:20 +0630] "GET /Fitfinity/img/mainDr2.svg HTTP/1.1" 200 6802918
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:21 +0630] "GET /Fitfinity/img/footerBg.svg HTTP/1.1" 200 5073
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:21 +0630] "GET /Fitfinity/img/mainDr3.svg HTTP/1.1" 200 11334199
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:23 +0630] "GET /Fitfinity/img/mainDr4.svg HTTP/1.1" 200 12234049
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:25 +0630] "GET /Fitfinity/img/mainDr7.svg HTTP/1.1" 200 8727696
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:03:28 +0630] "GET /Fitfinity/img/mainDr8.svg HTTP/1.1" 200 14841260
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:49 +0630] "GET /Fitfinity/main.jsp HTTP/1.1" 200 16452
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:49 +0630] "GET /Fitfinity/node_modules/animate.css/animate.css HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:49 +0630] "GET /Fitfinity/img/depHeart.svg HTTP/1.1" 200 1481332
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:49 +0630] "GET /Fitfinity/img/depSkin.svg HTTP/1.1" 200 335930
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:49 +0630] "GET /Fitfinity/img/depEar.svg HTTP/1.1" 200 382754
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:50 +0630] "GET /Fitfinity/img/depEmer.svg HTTP/1.1" 200 751018
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:50 +0630] "GET /Fitfinity/carousel.js HTTP/1.1" 200 3454
0:0:0:0:0:0:0:1 - - [21/Feb/2024:23:39:50 +0630] "GET /Fitfinity/img/depBone.svg HTTP/1.1" 200 287111
